settlement_norm,total_workers
nemespatro,15
nemesrado,19
nemesszalok,28
nemesszentandras,5
nemesvamos,746
nemesvid,20
nemesvita,14
nemetker,154
nemti,11
neszmely,78
nezsa,24
nick,7
nikla,17
nograd,124
nogradmegyer,63
nogradsap,47
nogradsipek,21
nogradszakal,13
norap,18
noszlop,38
noszvaj,246
notincs,93
nova,38
novaj,93
novajidrany,4
nyalka,5
nyarad,39
nyaregyhaza,882
nyarlorinc,290
nyarsapat,139
nyekladhaza,1270
nyergesujfalu,2315
nyim,5
nyirabrany,594
nyiracsad,582
nyirad,120
nyiradony,2309
nyirbator,4211
nyirbeltek,348
nyirbogat,367
nyirbogdany,366
nyircsaholy,167
nyircsaszari,32
nyirderzs,17
nyiregyhaza,75258
nyirgelse,43
nyirgyulaj,103
nyiribrony,43
nyirjako,26
nyirkarasz,185
nyirkata,92
nyirkercs,26
nyirlovo,13
nyirlugos,272
nyirmada,1020
nyirmartonfalva,162
nyirmeggyes,275
nyirmihalydi,113
nyirparasznya,11
nyirpazony,974
nyirtass,117
nyirtelek,2213
nyirtet,29
nyirtura,208
nyirvasvari,89
nyoger,12
nyul,1370
obarok,52
ocs,5
ocsa,3802
ocseny,305
ocsod,293
ofeherto,197
ohid,12
okany,180
okoritofulpos,84
olasz,5
olaszfa,18
olaszfalu,120
olaszliszka,139
olbo,20
olcsva,15
olcsvaapati,9
old,5
omboly,7
onga,1027
onod,135
opalyi,361
opusztaszer,152
or,81
orbottyan,2967
orci,7
ordacsehi,66
ordas,9
oregcserto,27
oreglak,63
orfu,299
orgovany,592
orhalom,28
orimagyarosd,5
oriszentpeter,125
orkeny,1164
ormenyes,35
ormenykut,9
ormosbanya,35
oroshaza,14070
oroszlany,7071
ortilos,12
orvenyes,6
osagard,19
osi,151
osku,187
osli,33
ostffyasszonyfa,33
ostoros,571
oszko,25
oszlar,6
osztopan,13
otteveny,502
ottomos,54
otvoskonyi,7
ozd,14067
ozmanbuk,7
ozora,189
pacin,43
pacsa,136
pahi,119
paka,45
pakod,5
pakozd,937
paks,8317
palfa,66
palhaza,66
pali,22
palmonostora,115
palosvorosmart,24
palotabozsok,27
palotas,107
paloznak,52
pamuk,20
pand,116
pankasz,8
pannonhalma,1020
panyola,16
pap,186
papa,16174
papadereske,7
papakovacsi,14
papasalamon,5
papateszer,46
papkeszi,133
papos,40
parad,166
parasznya,35
pari,7
paszab,12
paszto,3186
patak,22
patalom,7
patapoklosi,5
patka,154
patroha,269
patvarc,41
paty,3576
patyod,44
pazmand,426
pazmandfalu,78
pecel,7705
pecol,20
pecs,85727
pecsely,22
pecsudvard,25
pecsvarad,829
pellerd,435
pely,39
penc,103
peneszlek,60
penyige,27
penzesgyor,16
per,401
perbal,246
perenye,34
peresznye,15
pereszteg,98
perkata,851
perocseny,5
peteri,486
petervasara,176
petfurdo,1052
pethohenye,6
petnehaza,82
petofibanya,163
petofiszallas,206
petohaza,45
piliny,12
pilis,4466
pilisborosjeno,1498
piliscsaba,3067
piliscsev,337
pilisjaszfalu,252
pilismarot,249
pilisszanto,611
pilisszentivan,1378
pilisszentkereszt,354
pilisszentlaszlo,251
pilisvorosvar,6871
pincehely,155
pinnye,7
piricse,85
pirto,56
pitvaros,60
pocsaj,214
