gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Kereskedelem, gépjárműjavítás|Budapest|428|G
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Szállítás, raktározás|Budapest|210|H
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Szálláshely-szolgáltatás, vendéglátás|Budapest|211|I
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Információ, kommunikáció|Budapest|1093|J
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Pénzügyi, biztosítási tevékenység|Budapest|356|K
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Ingatlanügyletek|Budapest|48|L
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Szakmai, tudományos, műszaki tevékenység|Budapest|974|M
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|386|N
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|328|O
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Oktatás|Budapest|216|P
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Humán-egészségügyi, szociális ellátás|Budapest|108|Q
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Művészet, szórakoztatás, szabad idő|Budapest|190|R
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Egyéb szolgáltatás|Budapest|71|S
Férfi|20–24 éves|Egyetem, főiskola stb. oklevéllel|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|4|T
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|3|A
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Feldolgozóipar|Budapest|14|C
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Építőipar|Budapest|20|F
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Kereskedelem, gépjárműjavítás|Budapest|26|G
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szállítás, raktározás|Budapest|8|H
